category,n,graph6,band_01neg
con_reg,12,KtaHGtp[iYHp,2
con_reg,12,KtiWBDRQqLfo,2
con_reg,12,Kv~vFVeVx~B~,2
con_reg,12,Kv~~FFbVx~B~,2
con_reg,12,K{cAGgeBQSeK,2
con_reg,12,K{cAHKSBJ@bW,2
con_reg,12,K{eY`dIPhRCj,2
con_reg,12,K{fw?DbWwuBX,2
con_reg,12,K{~~vrv|q~f~,2
con_reg,12,K{~~~rt{y~f~,2
con_reg,12,K}a\QtsJaNfM,2
con_reg,12,K}akrT[LaNfM,2
con_reg,12,K}mCB|MR`leu,2
con_reg,12,K}meG|wX_f`n,2
con_reg,12,K}nLaXKKxf?~,2
con_reg,12,K}nTQTKKxj?~,2
con_reg,12,K}nTRDdEox_~,2
con_reg,12,K}rD|y{^z~N{,2
con_reg,12,K}ut^@VRxufl,2
con_reg,12,K~rK@[yLg}G^,2
con_reg,12,K~rLKs~Xquff,2
con_reg,12,K~rMEC~Nx}Fx,2
con_reg,12,K~z\ShjTpNb^,2
con_reg,12,K~z\cXrRpVa~,2
con_reg,12,K~z\c\qRXVa~,2
con_reg,12,K~ze}y~nr~n},2
con_reg,12,K~~LnNwFy^e~,2
con_reg,12,K~~{ACbCwV_~,2
con_reg,12,K~~}DCZDw^k^,2
con_reg,12,K~~}ECrKw^`~,2
con_reg,12,K~~~FFbFw~b~,2
con_reg,12,K~~~ffNrx~f~,2
con_reg,12,K~~~vnnv|~n~,2
con_reg,13,L~~~~~~~~~~~~~,2
con_reg,14,MsaC?@|]rmLwVoNo?,2
con_reg,14,MsaCC@~^r}Nw^o^o?,2
con_reg,14,M~~~{@@GWb`N@^?~_,2
con_reg,14,M~~~~zz|~^z~n~^~_,2
con_reg,14,M~~~~~~~~~~~~~~~_,2
con_bip,2,A_,1
con_bip,4,Cr,1
con_bip,6,EoSo,2
con_bip,6,Es\o,2
con_bip,8,Gs@ipo,1
con_bip,8,Gs`zro,1
con_bip,10,Is_BjX[N?,2
con_bip,10,IsaBzx{^?,2
con_bip,12,KsaCB|}^b{No,1
con_bip,12,Ks?GOObDRCI_,2
con_bip,12,Ks_?BLUR`wFO,2
con_bip,12,Ks_?BLeF_{N?,2
con_bip,12,Ksa?BtuZa{Fo,2
con_bip,14,MsaC?@|]rmLwVoNo?,2
con_bip,14,MsaCC@~^r}Nw^o^o?,2
con_bip,16,Os_????@zKIgIgLGHW?r?,1
con_bip,16,Os_????PpJAsQoIWBSBg?,1
con_bip,16,Osa????WyfH[PwN_Fg@x?,1
con_bip,16,OsaC???]ZrK{XwFwB{B{?,1
con_bip,16,OsaCC??^jzN[\wZwJ{@~?,1
con_bip,16,OsaCCA?^z~N{^w^wN{B~?,1
